Status,Title,URL,LocalFile,FileType,Size,LastModified,DownloadResult,Level,Referrer
"Parsed","Problem - 7E - Codeforces","http://codeforces.com/problemset/problem/7/E","../codeforces.com\problemset\problem\7\E.html","HTML","19211","","200 OK","0",""
"Parsed","Problem - 8D - Codeforces","http://codeforces.com/problemset/problem/8/D","../codeforces.com\problemset\problem\8\D.html","HTML","15844","","200 OK","0",""
"Parsed","Problem - 8E - Codeforces","http://codeforces.com/problemset/problem/8/E","../codeforces.com\problemset\problem\8\E.html","HTML","16088","","200 OK","0",""
"Parsed","Problem - 10E - Codeforces","http://codeforces.com/problemset/problem/10/E","../codeforces.com\problemset\problem\10\E.html","HTML","14731","","200 OK","0",""
"Parsed","Problem - 15E - Codeforces","http://codeforces.com/problemset/problem/15/E","../codeforces.com\problemset\problem\15\E.html","HTML","15233","","200 OK","0",""
"Parsed","Problem - 17E - Codeforces","http://codeforces.com/problemset/problem/17/E","../codeforces.com\problemset\problem\17\E.html","HTML","17275","","200 OK","0",""
"Parsed","Problem - 17C - Codeforces","http://codeforces.com/problemset/problem/17/C","../codeforces.com\problemset\problem\17\C.html","HTML","17492","","200 OK","0",""
"Parsed","Problem - 19E - Codeforces","http://codeforces.com/problemset/problem/19/E","../codeforces.com\problemset\problem\19\E.html","HTML","16114","","200 OK","0",""
"Parsed","Problem - 23D - Codeforces","http://codeforces.com/problemset/problem/23/D","../codeforces.com\problemset\problem\23\D.html","HTML","15138","","200 OK","0",""
"Parsed","Problem - 23E - Codeforces","http://codeforces.com/problemset/problem/23/E","../codeforces.com\problemset\problem\23\E.html","HTML","14632","","200 OK","0",""
"Parsed","Problem - 26E - Codeforces","http://codeforces.com/problemset/problem/26/E","../codeforces.com\problemset\problem\26\E.html","HTML","17098","","200 OK","0",""
"Parsed","Problem - 28D - Codeforces","http://codeforces.com/problemset/problem/28/D","../codeforces.com\problemset\problem\28\D.html","HTML","19225","","200 OK","0",""
"Parsed","Problem - 30D - Codeforces","http://codeforces.com/problemset/problem/30/D","../codeforces.com\problemset\problem\30\D.html","HTML","17229","","200 OK","0",""
"Parsed","Problem - 30E - Codeforces","http://codeforces.com/problemset/problem/30/E","../codeforces.com\problemset\problem\30\E.html","HTML","20939","","200 OK","0",""
"Parsed","Problem - 32E - Codeforces","http://codeforces.com/problemset/problem/32/E","../codeforces.com\problemset\problem\32\E.html","HTML","18406","","200 OK","0",""
"Parsed","Problem - 35E - Codeforces","http://codeforces.com/problemset/problem/35/E","../codeforces.com\problemset\problem\35\E.html","HTML","17405","","200 OK","0",""
"Parsed","Problem - 36E - Codeforces","http://codeforces.com/problemset/problem/36/E","../codeforces.com\problemset\problem\36\E.html","HTML","20326","","200 OK","0",""
"Parsed","Problem - 37E - Codeforces","http://codeforces.com/problemset/problem/37/E","../codeforces.com\problemset\problem\37\E.html","HTML","16039","","200 OK","0",""
"Parsed","Problem - 39C - Codeforces","http://codeforces.com/problemset/problem/39/C","../codeforces.com\problemset\problem\39\C.html","HTML","17331","","200 OK","0",""
"Parsed","Problem - 39A - Codeforces","http://codeforces.com/problemset/problem/39/A","../codeforces.com\problemset\problem\39\A.html","HTML","18317","","200 OK","0",""
"Parsed","Problem - 39E - Codeforces","http://codeforces.com/problemset/problem/39/E","../codeforces.com\problemset\problem\39\E.html","HTML","16756","","200 OK","0",""
"Parsed","Problem - 40E - Codeforces","http://codeforces.com/problemset/problem/40/E","../codeforces.com\problemset\problem\40\E.html","HTML","15585","","200 OK","0",""
"Parsed","Problem - 43E - Codeforces","http://codeforces.com/problemset/problem/43/E","../codeforces.com\problemset\problem\43\E.html","HTML","17184","","200 OK","0",""
